 * Running on http://0.0.0.0:8080/ (Press CTRL+C to quit)
140.233.178.154 - - [19/Apr/2015 22:17:33] "GET /smart_pretty HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/8efad3ee-b4dc-4f35-a14b-78a099f0b13a.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /static/css/bootstrap-theme.css HTTP/1.1" 304 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /static/css/bootstrap.css HTTP/1.1" 304 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /static/css/main.css HTTP/1.1" 304 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /static/js/hammer.min.js HTTP/1.1" 304 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /static/js/main.js HTTP/1.1" 304 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/881061a2-09f2-4888-b184-9111d40339b7.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/f53d2934-77b6-4bec-a199-4beaf1410c9f.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/aa406a1e-de58-471d-a4d9-74c4e0bcceb2.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/4550083d-ac12-4786-b46d-5e38a6a584e8.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/bfaa1a78-3a39-4f52-a00c-1a5dbd12366e.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/e038a81b-b2db-484e-9dfe-403197d85337.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/94bd84cc-a5c6-4b93-96ac-aa78a3051d30.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/c96e807b-3fe2-4979-8835-6d96381dfdac.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/99af226a-5824-46a6-877f-a431d97c6e1b.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/c5e0e489-89d9-4c31-84e2-51ab1be4f407.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/9bb6d1c2-4e16-4c0c-bb78-d937860a360b.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/281d0e91-22d8-4900-8996-0b7cfaa2c5d1.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/4a5aa298-eb66-402d-b15f-f1e779f0e9f9.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/cc111991-23d9-456c-8c00-59190f1c0e65.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/5c821952-4e2f-47bb-a4d6-a4566fad4200.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/22ceffb1-04af-4f31-af0f-8f13ad02b025.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/3dabd63a-2807-4584-bc50-1006284b3d68.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/e062f9ca-815b-4a44-9371-dedecc77c140.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/5e822a6d-8169-4943-ace5-c7dfdd8a655a.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/289a3046-ae5d-42b3-992f-93a46addf80f.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/e2a9d6d4-ba6d-4bf9-874d-962dd1aa8801.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/63b17b40-ed5d-40f1-a8b3-fd8f5f29ddfe.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/e4e5fce1-9e54-41fa-8e1a-b39426de6015.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/981e8eb5-bff8-4fae-a43b-a881374c9cdd.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/1eabf9e8-04d7-4339-b8bd-e18e7b59da83.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/9a66ac5c-9c8e-4163-933d-0e45fe9a73df.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/c374c690-c890-41c0-8344-fa2934dd6602.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/3e9f040b-181d-4d6a-91cb-b630de8c6510.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/6d09ad3d-890c-4532-9afe-cee24a2a8909.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/80820f97-44d9-4663-b2b5-ebed0881e5a5.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/91fa2a7c-1a63-4c7e-8c17-3b1818a5ca8a.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/d7d33be9-c5ae-4390-a888-d460d7e7c89e.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/4be5829d-d368-434d-a8bb-24dabb736eae.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/09c1a537-ee03-4f6a-b163-6089475c1876.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/72ed247c-e163-45ed-8848-c06a0e603ca2.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/3afd57ea-6e5d-47fa-85bf-d32368af6f44.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/045adddd-97cb-4579-a00c-9127d9c867a5.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/038729ed-5edf-495f-98fd-e3e17e900930.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/8ebc9685-4c2f-4bfb-8860-75a9b5a67168.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/95087542-376a-42c2-90ba-479e5ce69ca7.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/9b714b99-98b0-4061-bc17-47472b90e66d.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/27957a11-76c8-4a03-8168-42902ad018f4.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/49462133-9833-49e6-af58-f93124ec101e.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/86c2a91d-a0e9-4376-9efe-fb55a14492e2.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/c36e3437-3b64-45e0-bd03-3461ee30b2fc.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/d27fc330-d0b8-423b-89f7-79ed310e559d.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/e811fc3e-c27c-4ad7-81af-76c3ae173c65.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/98364c0a-3f12-4e10-97d7-24d68e704e3d.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/2858e77b-b725-4aaa-8deb-dd6b9e81ffd1.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/a5f79620-d9c0-4b04-bbbf-57f7220ba2a8.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/1c67c3ba-3c4b-4842-875b-64581ddf0e02.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/947f7537-71c2-4fd1-8fe9-2871b0386bbd.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/1b438462-a6a4-4cfd-b6e8-0e43333f2036.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:34] "GET /image/4de3baf6-13af-4e9f-8e16-3152d36b5594.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:35] "GET /image/5936e7c1-bdfa-4914-9ce1-ed98550b66af.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:35] "GET /image/34a46f8b-01c2-412c-b458-b33f35999995.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:35] "GET /image/883ff98a-1934-41b3-b752-a4d1c8b90163.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:35] "GET /image/5ee132e8-2501-49ad-b64e-5d4875175e45.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:35] "GET /image/a57c7046-f2d6-43ae-bae7-54b854543d47.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:40] "GET /smart_pretty HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:40] "GET /image/9a7bc4ff-b982-446a-b6ca-69b84b09115d.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:40] "GET /static/css/bootstrap.css HTTP/1.1" 304 -
140.233.178.154 - - [19/Apr/2015 22:17:40] "GET /static/css/main.css HTTP/1.1" 304 -
140.233.178.154 - - [19/Apr/2015 22:17:40] "GET /static/css/bootstrap-theme.css HTTP/1.1" 304 -
140.233.178.154 - - [19/Apr/2015 22:17:40] "GET /static/js/hammer.min.js HTTP/1.1" 304 -
140.233.178.154 - - [19/Apr/2015 22:17:40] "GET /static/js/main.js HTTP/1.1" 304 -
140.233.178.154 - - [19/Apr/2015 22:17:40] "GET /image/aa94d82b-2ce1-4331-a303-d016acb7a034.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:40] "GET /image/ecbd840f-f946-4b61-b43f-b34ef7e7e4a2.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:40] "GET /image/98c853c3-5d78-49ed-9a23-8a2f72e5480a.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:40] "GET /image/6e8cdb6f-f4a9-4ee8-992e-5ab0c0ecf24f.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:40] "GET /image/11602157-4c04-4119-9e10-d8b6ab36381e.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:40] "GET /image/398cf8e9-a523-462b-bd13-fd36514ec603.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:40] "GET /image HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:40] "GET /image/46bf02f2-5205-4bb6-98b7-3c66340df950.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:40] "GET /image/9120bdf6-ef54-4e49-9c31-6bc2f9a17db8.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:40] "GET /image/34622638-0bab-43ef-92df-59d9e8b66910.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:40] "GET /image/af233f5d-1656-4150-b7c5-c69206bb2086.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:40] "GET /image/d813467f-015b-4b68-af91-1f301d14bccc.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:40] "GET /image/59f3e39a-3461-4a14-89fa-199037b177f8.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:40] "GET /image/ecee8843-9f0b-4dd9-9304-f745120a2013.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:40] "GET /image/b0237cf3-2f4b-4fb3-b40c-77c3c41ea322.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:40] "GET /image/0b1b73b5-9dd9-48d5-a298-904d08b174b6.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:40] "GET /image/ad680e1b-1214-4317-aea0-876caf8d89d1.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:40] "GET /image/fa11070d-3175-4f43-8f8a-464f7e509f3b.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:40] "GET /image/93a0bd40-fd66-4f52-9846-fbe47fec2704.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:40] "GET /image/34fcbfba-1417-4a6a-a98e-7467ff99b051.png HTTP/1.1" 200 -
140.233.178.154 - - [19/Apr/2015 22:17:40] "GET /image/1020a9bd-79fb-481d-8660-65be838febcb.png HTTP/1.1" 200 -
